,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2021-22,Qld,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"3,16,39,994","3,28,26,474",6,6
2021-22,Qld,Other services,Patient transport services,Australian Government,DoHAC and other,"4,58,44,091","4,75,63,216",9,9
2021-22,Qld,Other services,Patient transport services,Australian Government,Premium rebates,"1,87,626","1,94,662",0,0
2021-22,Qld,Other services,Patient transport services,Non-government,Health Insurance Funds,"5,24,280","5,43,940",0,0
2021-22,Qld,Other services,Patient transport services,Non-government,Other sources of fund,"24,13,918","25,04,438",0,0
2021-22,Qld,Other services,Patient transport services,State and local government,State and local government,"1,21,23,04,495","1,25,77,65,162",230,239
2021-22,Qld,Primary health care,All other medications,Australian Government,DoHAC and other,"20,91,07,659","21,48,42,628",40,41
2021-22,Qld,Primary health care,All other medications,Australian Government,Premium rebates,"32,00,303","32,88,075",1,1
2021-22,Qld,Primary health care,All other medications,Non-government,Health Insurance Funds,"89,42,545","91,87,802",2,2
2021-22,Qld,Primary health care,All other medications,Non-government,Individuals,"2,84,99,02,580","2,95,62,78,768",542,562
2021-22,Qld,Primary health care,All other medications,Non-government,Other sources of fund,"1,52,45,054","1,56,63,163",3,3
2021-22,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"10,05,88,282","11,12,47,480",19,21
2021-22,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"2,21,07,02,112","2,43,74,80,205",420,463
2021-22,Qld,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"31,93,53,051","35,31,94,439",61,67
2021-22,Qld,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"44,81,839","46,25,258",1,1
2021-22,Qld,Primary health care,Community health and other,Australian Government,DoHAC and other,"67,66,68,746","70,09,78,533",129,133
2021-22,Qld,Primary health care,Community health and other,Australian Government,Premium rebates,"55,807","57,593",0,0
2021-22,Qld,Primary health care,Community health and other,Non-government,Health Insurance Funds,"1,55,942","1,60,932",0,0
2021-22,Qld,Primary health care,Community health and other,Non-government,Individuals,"1,86,36,670","1,92,33,043",4,4
2021-22,Qld,Primary health care,Community health and other,Non-government,Other sources of fund,"3,13,96,949","3,24,01,651",6,6
2021-22,Qld,Primary health care,Community health and other,State and local government,State and local government,"3,44,47,81,741","3,55,30,89,342",655,675
2021-22,Qld,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"3,11,86,294","3,17,44,597",6,6
2021-22,Qld,Primary health care,Dental services,Australian Government,DoHAC and other,"7,87,57,480","8,01,67,409",15,15
2021-22,Qld,Primary health care,Dental services,Australian Government,Premium rebates,"16,15,55,727","16,44,47,925",31,31
2021-22,Qld,Primary health care,Dental services,Non-government,Health Insurance Funds,"45,14,32,001","45,95,13,613",86,87
2021-22,Qld,Primary health care,Dental services,Non-government,Individuals,"69,16,81,875","70,40,64,479",131,134
2021-22,Qld,Primary health care,Dental services,Non-government,Other sources of fund,"1,20,39,862","1,22,55,401",2,2
2021-22,Qld,Primary health care,Dental services,State and local government,State and local government,"20,56,35,705","20,93,17,030",39,40
2021-22,Qld,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"8,18,24,159","8,56,13,177",16,16
2021-22,Qld,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"51,92,25,856","54,32,69,560",99,103
2021-22,Qld,Primary health care,Other health practitioners,Australian Government,Premium rebates,"6,28,25,927","6,57,35,197",12,12
2021-22,Qld,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"17,55,53,257","18,36,82,572",33,35
2021-22,Qld,Primary health care,Other health practitioners,Non-government,Individuals,"34,32,73,414","35,91,69,318",65,68
2021-22,Qld,Primary health care,Other health practitioners,Non-government,Other sources of fund,"12,81,59,223","13,40,93,870",24,25
2021-22,Qld,Primary health care,Public health,Australian Government,DoHAC and other,"1,74,74,65,325","1,81,29,63,416",332,345
2021-22,Qld,Primary health care,Public health,Non-government,Individuals,"1,15,87,147","1,20,21,658",2,2
2021-22,Qld,Primary health care,Public health,State and local government,State and local government,"20,79,58,366","21,57,56,676",40,41
2021-22,Qld,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"3,83,99,013","4,05,56,344",7,8
2021-22,Qld,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"2,40,49,81,216","2,54,00,22,391",457,483
2021-22,Qld,Primary health care,Unreferred medical services,Non-government,Individuals,"20,92,01,210","22,09,54,541",40,42
2021-22,Qld,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"20,65,80,355","21,81,86,442",39,41
2021-22,Qld,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"24,16,08,543","25,51,82,582",46,49
2021-22,Qld,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"2,79,20,80,217","2,94,89,44,725",531,561
2021-22,Qld,Referred medical services,Referred medical services,Australian Government,Premium rebates,"13,26,34,296","14,00,85,949",25,27
2021-22,Qld,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"37,06,17,412","39,14,39,421",70,74
2021-22,Qld,Referred medical services,Referred medical services,Non-government,Individuals,"83,31,48,614","87,99,56,527",158,167
2021-22,Qld,Research,Research,Australian Government,DoHAC and other,"1,11,60,33,812","1,15,17,46,894",212,219
2021-22,Qld,Research,Research,Non-government,Other sources of fund,"8,07,21,039","8,33,04,113",15,16
2021-22,Qld,Research,Research,State and local government,State and local government,"27,66,80,005","28,55,33,765",53,54
2021-22,SA,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"1,68,36,435","1,74,71,214",9,10
2021-22,SA,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"45,96,92,098","50,49,73,634",255,280
2021-22,SA,Capital expenditure,Capital expenditure,State and local government,State and local government,"24,70,00,000","27,19,65,780",137,151
2021-22,SA,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"3,28,67,776","3,41,81,000",18,19
2021-22,SA,Hospitals,Private hospitals,Australian Government,DoHAC and other,"30,09,43,062","31,71,04,027",167,176
2021-22,SA,Hospitals,Private hospitals,Australian Government,Premium rebates,"22,14,95,587","23,03,45,390",123,128
2021-22,SA,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"61,89,20,775","64,36,49,607",343,356
2021-22,SA,Hospitals,Private hospitals,Non-government,Individuals,"17,83,28,653","18,54,53,732",99,103
2021-22,SA,Hospitals,Private hospitals,Non-government,Other sources of fund,"6,11,93,430","6,36,38,398",34,35
2021-22,SA,Hospitals,Private hospitals,State and local government,State and local government,"2,27,59,001","2,36,68,332",13,13
2021-22,SA,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"3,67,24,476","3,81,91,794",20,21
2021-22,SA,Hospitals,Public hospital services,Australian Government,DoHAC and other,"1,97,85,41,501","2,06,29,51,972","1,096","1,142"
2021-22,SA,Hospitals,Public hospital services,Australian Government,Premium rebates,"2,23,79,576","2,32,73,746",12,13
2021-22,SA,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"6,25,34,809","6,50,33,373",35,36
2021-22,SA,Hospitals,Public hospital services,Non-government,Individuals,"5,49,53,069","5,71,48,706",30,32
2021-22,SA,Hospitals,Public hospital services,Non-government,Other sources of fund,"18,80,52,689","19,55,66,290",104,108
2021-22,SA,Hospitals,Public hospital services,State and local government,State and local government,"3,24,16,75,594","3,37,11,95,971","1,795","1,867"
2021-22,SA,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,0,0,0,0
2021-22,SA,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,0,0,0,0
2021-22,SA,Other services,Administration,Australian Government,DoHAC and other,"13,87,24,154","14,33,22,475",77,79
2021-22,SA,Other services,Administration,Australian Government,Premium rebates,"5,34,22,421","5,51,85,361",30,31
2021-22,SA,Other services,Administration,Non-government,Health Insurance Funds,"14,92,77,225","15,42,03,373",83,85
2021-22,SA,Other services,Administration,State and local government,State and local government,0,0,0,0
2021-22,SA,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"1,12,61,726","1,16,31,116",6,6
2021-22,SA,Other services,Aids and appliances,Australian Government,DoHAC and other,"2,81,68,289","2,90,92,223",16,16
2021-22,SA,Other services,Aids and appliances,Australian Government,Premium rebates,"2,22,99,597","2,30,31,034",12,13
2021-22,SA,Other services,Aids and appliances,Non-government,Health Insurance Funds,"6,23,11,327","6,43,55,168",35,36
2021-22,SA,Other services,Aids and appliances,Non-government,Individuals,"19,24,97,371","19,88,11,376",107,110
2021-22,SA,Other services,Aids and appliances,Non-government,Other sources of fund,"2,68,23,952","2,77,03,790",15,15
2021-22,SA,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"54,38,662","56,55,962",3,3
2021-22,SA,Other services,Patient transport services,Australian Government,DoHAC and other,"1,66,27,031","1,72,91,360",9,10
2021-22,SA,Other services,Patient transport services,Australian Government,Premium rebates,"1,28,30,508","1,33,43,148",7,7
2021-22,SA,Other services,Patient transport services,Non-government,Health Insurance Funds,"3,58,52,036","3,72,84,496",20,21
2021-22,SA,Other services,Patient transport services,Non-government,Individuals,"12,46,37,197","12,96,17,047",69,72
2021-22,SA,Other services,Patient transport services,Non-government,Other sources of fund,"96,99,938","1,00,87,497",5,6
2021-22,SA,Other services,Patient transport services,State and local government,State and local government,"24,99,91,405","25,99,79,752",138,144
2021-22,SA,Primary health care,All other medications,Australian Government,DoHAC and other,"7,37,99,948","7,56,23,436",41,42
2021-22,SA,Primary health care,All other medications,Australian Government,Premium rebates,"13,02,927","13,35,120",1,1
2021-22,SA,Primary health care,All other medications,Non-government,Health Insurance Funds,"36,40,743","37,30,701",2,2
2021-22,SA,Primary health care,All other medications,Non-government,Individuals,"97,09,27,744","1,00,50,62,854",538,557
2021-22,SA,Primary health care,All other medications,Non-government,Other sources of fund,"30,50,018","31,25,379",2,2
2021-22,SA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"2,22,33,833","2,45,89,921",12,14
2021-22,SA,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"85,47,79,538","94,29,42,737",473,522
2021-22,SA,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"12,08,74,506","13,36,83,406",67,74
2021-22,SA,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"10,03,119","10,36,222",1,1
2021-22,SA,Primary health care,Community health and other,Australian Government,DoHAC and other,"11,39,89,575","11,79,67,646",63,65
2021-22,SA,Primary health care,Community health and other,Australian Government,Premium rebates,"23,001","23,760",0,0
2021-22,SA,Primary health care,Community health and other,Non-government,Health Insurance Funds,"64,270","66,391",0,0
2021-22,SA,Primary health care,Community health and other,Non-government,Individuals,"3,13,29,247","3,23,63,112",17,18
2021-22,SA,Primary health care,Community health and other,Non-government,Other sources of fund,"10,20,15,904","10,53,82,428",56,58
2021-22,SA,Primary health care,Community health and other,State and local government,State and local government,"94,98,97,611","98,11,90,987",526,543
2021-22,SA,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"66,46,781","67,65,772",4,4
2021-22,SA,Primary health care,Dental services,Australian Government,DoHAC and other,"3,59,49,284","3,65,92,854",20,20
2021-22,SA,Primary health care,Dental services,Australian Government,Premium rebates,"6,95,38,302","7,07,83,188",39,39
2021-22,SA,Primary health care,Dental services,Non-government,Health Insurance Funds,"19,43,09,514","19,77,88,076",108,110
2021-22,SA,Primary health care,Dental services,Non-government,Individuals,"18,38,20,415","18,71,11,198",102,104
2021-22,SA,Primary health care,Dental services,Non-government,Other sources of fund,"39,62,061","40,32,991",2,2
2021-22,SA,Primary health care,Dental services,State and local government,State and local government,"8,67,93,757","8,83,47,554",48,49
2021-22,SA,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"1,47,88,926","1,54,73,754",8,9
2021-22,SA,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"18,06,50,303","18,90,15,646",100,105
2021-22,SA,Primary health care,Other health practitioners,Australian Government,Premium rebates,"3,02,33,782","3,16,33,812",17,18
2021-22,SA,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"8,44,81,663","8,83,93,742",47,49
2021-22,SA,Primary health care,Other health practitioners,Non-government,Individuals,"-4,70,33,252","-4,92,11,213",-26,-27
2021-22,SA,Primary health care,Other health practitioners,Non-government,Other sources of fund,"4,53,33,129","4,74,32,363",25,26
2021-22,SA,Primary health care,Public health,Australian Government,DoHAC and other,"72,72,64,373","75,63,04,003",403,419
2021-22,SA,Primary health care,Public health,Non-government,Individuals,"2,46,65,861","2,56,51,380",14,14
2021-22,SA,Primary health care,Public health,Non-government,Other sources of fund,"2,25,12,556","2,34,12,040",12,13
2021-22,SA,Primary health care,Public health,State and local government,State and local government,"40,26,18,291","41,87,04,809",223,232
2021-22,SA,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"64,12,349","67,24,816",4,4
2021-22,SA,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"76,17,85,992","79,88,91,219",422,442
2021-22,SA,Primary health care,Unreferred medical services,Non-government,Individuals,"5,81,61,731","6,09,95,888",32,34
2021-22,SA,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"8,43,40,920","8,84,50,760",47,49
2021-22,SA,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"4,29,45,473","4,50,38,158",24,25
2021-22,SA,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"93,19,23,948","97,73,35,576",516,541
2021-22,SA,Referred medical services,Referred medical services,Australian Government,Premium rebates,"5,18,03,194","5,43,27,507",29,30
2021-22,SA,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"14,47,52,650","15,18,06,287",80,84
2021-22,SA,Referred medical services,Referred medical services,Non-government,Individuals,"22,29,19,391","23,37,82,008",123,129
2021-22,SA,Research,Research,Australian Government,DoHAC and other,"39,87,47,687","41,19,06,361",221,228
2021-22,SA,Research,Research,Non-government,Individuals,"4,38,397","4,52,864",0,0
2021-22,SA,Research,Research,Non-government,Other sources of fund,"2,94,55,606","3,04,27,641",16,17
2021-22,SA,Research,Research,State and local government,State and local government,"4,39,65,779","4,54,16,649",24,25
2021-22,Tas,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"1,15,98,433","1,22,71,317",20,22
2021-22,Tas,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"14,47,79,861","15,92,76,538",255,280
2021-22,Tas,Capital expenditure,Capital expenditure,State and local government,State and local government,"9,60,00,000","10,62,30,222",169,187
2021-22,Tas,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"1,24,89,602","1,29,43,845",22,23
2021-22,Tas,Hospitals,Private hospitals,Australian Government,DoHAC and other,"7,62,50,740","7,99,70,948",134,141
2021-22,Tas,Hospitals,Private hospitals,Australian Government,Premium rebates,"7,35,18,669","7,61,92,521",129,134
2021-22,Tas,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"20,54,31,775","21,29,03,268",361,374
2021-22,Tas,Hospitals,Private hospitals,Non-government,Individuals,"7,01,02,019","7,26,51,609",123,128
2021-22,Tas,Hospitals,Private hospitals,Non-government,Other sources of fund,"3,07,61,502","3,18,80,289",54,56
2021-22,Tas,Hospitals,Private hospitals,State and local government,State and local government,"7,27,94,114","7,54,41,615",128,133
2021-22,Tas,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"1,46,17,919","1,51,49,569",26,27
2021-22,Tas,Hospitals,Public hospital services,Australian Government,DoHAC and other,"75,88,17,961","78,87,55,421","1,334","1,387"
2021-22,Tas,Hospitals,Public hospital services,Australian Government,Premium rebates,"59,94,862","62,12,893",11,11
2021-22,Tas,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"1,67,51,325","1,73,60,566",29,31
2021-22,Tas,Hospitals,Public hospital services,Non-government,Individuals,"1,98,45,373","2,05,67,143",35,36
2021-22,Tas,Hospitals,Public hospital services,Non-government,Other sources of fund,"3,02,80,862","3,13,82,169",53,55
2021-22,Tas,Hospitals,Public hospital services,State and local government,State and local government,"1,04,98,88,709","1,08,80,72,852","1,846","1,914"
2021-22,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,0,0,0,0
2021-22,Tas,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,0,0,0,0
2021-22,Tas,Other services,Administration,Australian Government,DoHAC and other,"4,24,33,228","4,37,71,643",75,77
2021-22,Tas,Other services,Administration,Australian Government,Premium rebates,"1,54,06,781","1,58,84,391",27,28
2021-22,Tas,Other services,Administration,Non-government,Health Insurance Funds,"4,30,50,866","4,43,85,443",76,78
2021-22,Tas,Other services,Administration,Non-government,Individuals,"8,91,226","9,18,854",2,2
2021-22,Tas,Other services,Administration,Non-government,Other sources of fund,"4,95,745","5,11,113",1,1
2021-22,Tas,Other services,Administration,State and local government,State and local government,"28,77,71,672","29,66,92,593",506,522
2021-22,Tas,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"29,94,818","30,93,049",5,5
2021-22,Tas,Other services,Aids and appliances,Australian Government,DoHAC and other,"88,88,425","91,79,969",16,16
2021-22,Tas,Other services,Aids and appliances,Australian Government,Premium rebates,"66,54,118","68,72,376",12,12
2021-22,Tas,Other services,Aids and appliances,Non-government,Health Insurance Funds,"1,85,93,472","1,92,03,346",33,34
2021-22,Tas,Other services,Aids and appliances,Non-government,Individuals,"5,93,09,479","6,12,54,858",104,108
2021-22,Tas,Other services,Aids and appliances,Non-government,Other sources of fund,"54,75,041","56,54,625",10,10
2021-22,Tas,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"33,53,884","34,75,864",6,6
2021-22,Tas,Other services,Patient transport services,Australian Government,DoHAC and other,"81,80,693","84,78,222",14,15
2021-22,Tas,Other services,Patient transport services,Australian Government,Premium rebates,"41,742","43,260",0,0
2021-22,Tas,Other services,Patient transport services,Non-government,Health Insurance Funds,"1,16,639","1,20,881",0,0
2021-22,Tas,Other services,Patient transport services,Non-government,Individuals,"39,78,589","41,23,289",7,7
2021-22,Tas,Other services,Patient transport services,Non-government,Other sources of fund,"13,81,727","14,31,980",2,3
2021-22,Tas,Other services,Patient transport services,State and local government,State and local government,"15,49,83,129","16,06,19,820",273,282
2021-22,Tas,Primary health care,All other medications,Australian Government,DoHAC and other,"2,51,78,375","2,56,93,409",44,45
2021-22,Tas,Primary health care,All other medications,Australian Government,Premium rebates,"4,93,151","5,03,238",1,1
2021-22,Tas,Primary health care,All other medications,Non-government,Health Insurance Funds,"13,78,001","14,06,189",2,2
2021-22,Tas,Primary health care,All other medications,Non-government,Individuals,"31,54,55,410","32,52,62,813",555,572
2021-22,Tas,Primary health care,All other medications,Non-government,Other sources of fund,"84,02,076","85,73,944",15,15
2021-22,Tas,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"94,31,099","1,04,30,499",17,18
2021-22,Tas,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"29,61,98,688","32,72,75,936",521,576
2021-22,Tas,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"4,09,82,632","4,53,25,503",72,80
2021-22,Tas,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"3,49,006","3,59,825",1,1
2021-22,Tas,Primary health care,Community health and other,Australian Government,DoHAC and other,"3,34,03,295","3,45,46,207",59,61
2021-22,Tas,Primary health care,Community health and other,Australian Government,Premium rebates,"25,866","26,668",0,0
2021-22,Tas,Primary health care,Community health and other,Non-government,Health Insurance Funds,"72,277","74,517",0,0
2021-22,Tas,Primary health care,Community health and other,Non-government,Individuals,"11,60,932","11,96,921",2,2
2021-22,Tas,Primary health care,Community health and other,Non-government,Other sources of fund,"12,32,917","12,71,138",2,2
2021-22,Tas,Primary health care,Community health and other,State and local government,State and local government,"19,20,66,325","19,80,16,228",338,348
2021-22,Tas,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"17,41,706","17,72,886",3,3
2021-22,Tas,Primary health care,Dental services,Australian Government,DoHAC and other,"55,06,077","56,04,647",10,10
2021-22,Tas,Primary health care,Dental services,Australian Government,Premium rebates,"1,57,18,601","1,59,99,998",28,28
2021-22,Tas,Primary health care,Dental services,Non-government,Health Insurance Funds,"4,39,22,178","4,47,08,481",77,79
2021-22,Tas,Primary health care,Dental services,Non-government,Individuals,"10,52,27,563","10,71,11,364",185,188
2021-22,Tas,Primary health care,Dental services,Non-government,Other sources of fund,"12,43,430","12,65,690",2,2
2021-22,Tas,Primary health care,Dental services,State and local government,State and local government,"2,61,00,000","2,65,67,247",46,47
2021-22,Tas,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"37,05,763","38,77,366",7,7
2021-22,Tas,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"5,06,39,615","5,29,84,575",89,93
2021-22,Tas,Primary health care,Other health practitioners,Australian Government,Premium rebates,"58,26,105","60,95,893",10,11
2021-22,Tas,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"1,62,79,770","1,70,33,635",29,30
2021-22,Tas,Primary health care,Other health practitioners,Non-government,Individuals,"2,80,02,936","2,92,99,663",49,52
2021-22,Tas,Primary health care,Other health practitioners,Non-government,Other sources of fund,"37,82,981","39,58,159",7,7
2021-22,Tas,Primary health care,Other health practitioners,State and local government,State and local government,"32,38,370","33,88,329",6,6
2021-22,Tas,Primary health care,Public health,Australian Government,DoHAC and other,"26,38,25,658","27,34,17,460",464,481
2021-22,Tas,Primary health care,Public health,Non-government,Individuals,"-26,77,999","-27,75,397",-5,-5
2021-22,Tas,Primary health care,Public health,Non-government,Other sources of fund,"13,88,592","14,39,095",2,3
2021-22,Tas,Primary health care,Public health,State and local government,State and local government,"21,39,43,286","22,17,24,340",376,390
2021-22,Tas,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"28,16,290","29,92,600",5,5
2021-22,Tas,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"24,62,66,495","26,16,52,847",433,460
2021-22,Tas,Primary health care,Unreferred medical services,Non-government,Individuals,"3,30,83,801","3,51,54,970",58,62
2021-22,Tas,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"2,08,30,661","2,21,34,738",37,39
2021-22,Tas,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"1,47,13,623","1,56,34,751",26,27
2021-22,Tas,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"24,60,70,037","26,14,74,940",433,460
2021-22,Tas,Referred medical services,Referred medical services,Australian Government,Premium rebates,"1,50,05,479","1,59,44,878",26,28
2021-22,Tas,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"4,19,29,517","4,45,54,461",74,78
2021-22,Tas,Referred medical services,Referred medical services,Non-government,Individuals,"6,55,22,480","6,96,24,432",115,122
2021-22,Tas,Research,Research,Australian Government,DoHAC and other,"8,17,82,626","8,43,17,888",144,148
2021-22,Tas,Research,Research,Non-government,Individuals,"-9,681","-9,981",0,0
2021-22,Tas,Research,Research,Non-government,Other sources of fund,"26,68,144","27,50,856",5,5
2021-22,Tas,Research,Research,State and local government,State and local government,"67,28,911","69,37,507",12,12
2021-22,Vic,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"4,34,00,588","4,53,86,340",7,7
2021-22,Vic,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"1,67,16,58,543","1,81,12,27,660",255,276
2021-22,Vic,Capital expenditure,Capital expenditure,State and local government,State and local government,"1,22,90,00,000","1,32,58,32,873",187,202
2021-22,Vic,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"10,67,79,757","11,09,42,297",16,17
2021-22,Vic,Hospitals,Private hospitals,Australian Government,DoHAC and other,"1,06,30,43,924","1,11,22,02,703",162,169
2021-22,Vic,Hospitals,Private hospitals,Australian Government,Premium rebates,"77,57,08,281","80,59,47,315",118,123
2021-22,Vic,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"2,16,75,46,441","2,25,20,42,781",330,343
2021-22,Vic,Hospitals,Private hospitals,Non-government,Individuals,"59,70,37,689","62,03,11,700",91,94
2021-22,Vic,Hospitals,Private hospitals,Non-government,Other sources of fund,"40,20,99,714","41,77,74,558",61,64
2021-22,Vic,Hospitals,Private hospitals,State and local government,State and local government,0,0,0,0
2021-22,Vic,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"6,62,15,726","6,87,96,979",10,10
2021-22,Vic,Hospitals,Public hospital services,Australian Government,DoHAC and other,"7,63,22,99,191","7,94,79,09,233","1,162","1,210"
2021-22,Vic,Hospitals,Public hospital services,Australian Government,Premium rebates,"4,83,17,389","5,02,00,921",7,8
2021-22,Vic,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"13,50,12,334","14,02,75,450",21,21
2021-22,Vic,Hospitals,Public hospital services,Non-government,Individuals,"44,05,91,537","45,77,66,888",67,70
2021-22,Vic,Hospitals,Public hospital services,Non-government,Other sources of fund,"63,90,65,148","66,39,77,493",97,101
2021-22,Vic,Hospitals,Public hospital services,State and local government,State and local government,"13,55,24,72,014","14,08,07,81,011","2,064","2,144"
2021-22,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,0,0,0,0
2021-22,Vic,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,0,0,0,0
2021-22,Vic,Other services,Administration,Australian Government,DoHAC and other,"49,54,29,757","51,14,39,394",75,78
2021-22,Vic,Other services,Administration,Australian Government,Premium rebates,"16,14,15,706","16,65,81,008",25,25
2021-22,Vic,Other services,Administration,Non-government,Health Insurance Funds,"45,10,40,741","46,54,74,045",69,71
2021-22,Vic,Other services,Administration,State and local government,State and local government,"-4,00,000","-4,12,800",0,0
2021-22,Vic,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"2,18,96,804","2,26,15,029",3,3
2021-22,Vic,Other services,Aids and appliances,Australian Government,DoHAC and other,"10,19,57,297","10,53,01,545",16,16
2021-22,Vic,Other services,Aids and appliances,Australian Government,Premium rebates,"5,56,10,364","5,74,34,410",8,9
2021-22,Vic,Other services,Aids and appliances,Non-government,Health Insurance Funds,"15,53,90,949","16,04,87,846",24,24
2021-22,Vic,Other services,Aids and appliances,Non-government,Individuals,"1,00,60,45,084","1,03,90,43,842",153,158
2021-22,Vic,Other services,Aids and appliances,Non-government,Other sources of fund,"3,87,08,388","3,99,78,042",6,6
2021-22,Vic,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"1,69,69,514","1,76,31,028",3,3
2021-22,Vic,Other services,Patient transport services,Australian Government,DoHAC and other,"5,80,81,497","6,03,45,658",9,9
2021-22,Vic,Other services,Patient transport services,Australian Government,Premium rebates,"1,48,39,297","1,54,17,770",2,2
2021-22,Vic,Other services,Patient transport services,Non-government,Health Insurance Funds,"4,14,65,157","4,30,81,572",6,7
2021-22,Vic,Other services,Patient transport services,Non-government,Individuals,"32,16,74,655","33,42,14,331",49,51
2021-22,Vic,Other services,Patient transport services,Non-government,Other sources of fund,"82,47,285","85,68,784",1,1
2021-22,Vic,Other services,Patient transport services,State and local government,State and local government,"1,03,23,88,427","1,07,26,33,491",157,163
2021-22,Vic,Primary health care,All other medications,Australian Government,DoHAC and other,"25,50,25,733","25,63,00,214",39,39
2021-22,Vic,Primary health care,All other medications,Australian Government,Premium rebates,"23,80,384","23,92,279",0,0
2021-22,Vic,Primary health care,All other medications,Non-government,Health Insurance Funds,"66,51,459","66,84,700",1,1
