eInjury_01,DiagnosisCodeDescr
W16.722,Jumping or diving from boat striking bottom causing other injury
W16.8,Jumping or diving into other water
W16.82,Jumping or diving into other water striking bottom
W16.822,Jumping or diving into other water striking bottom causing other injury
W16.832,Jumping or diving into other water striking wall causing other injury
W16.9,Jumping or diving into unspecified water
W16.91,Jumping or diving into unspecified water causing drowning and submersion
W16.92,Jumping or diving into unspecified water causing other injury
W16.92XA,"Jumping or diving into unspecified water causing other injury, initial encounter"
W17,Other fall from one level to another
W17.0,Fall into well
W17.1,Fall into storm drain or manhole
W17.2,Fall into hole
W17.3,Fall into empty swimming pool
W17.4,Fall from dock
W17.8,Other fall from one level to another
W17.81,Fall down embankment (hill)
W17.82,Fall from (out of) grocery cart
W17.89,Other fall from one level to another
W17.89XA,"Other fall from one level to another, initial encounter"
W18,"Other slipping, tripping and stumbling and falls"
W18.0,Fall due to bumping against object
W18.00,Striking against unspecified object with subsequent fall
W18.01,Striking against sports equipment with subsequent fall
W18.02,Striking against glass with subsequent fall
W18.09,Striking against other object with subsequent fall
W18.1,Fall from or off toilet
W18.11,Fall from or off toilet without subsequent striking against object
W18.11XA,"Fall from or off toilet without subsequent striking against object, initial encounter"
W18.12,Fall from or off toilet with subsequent striking against object
W18.12XA,"Fall from or off toilet with subsequent striking against object, initial encounter"
W18.2,Fall in (into) shower or empty bathtub
W18.3,Other and unspecified fall on same level
W18.30,"Fall on same level, unspecified"
W18.30XA,"Fall on same level, unspecified, initial encounter"
W18.30XD,"Fall on same level, unspecified, subsequent encounter"
W18.31,Fall on same level due to stepping on an object
W18.39,Other fall on same level
W18.39XA,"Other fall on same level, initial encounter"
W18.4,"Slipping, tripping and stumbling without falling"
W18.40,"Slipping, tripping and stumbling without falling, unspecified"
W18.41,"Slipping, tripping and stumbling without falling due to stepping on object"
W18.42,"Slipping, tripping and stumbling without falling due to stepping into hole or opening"
W18.43,"Slipping, tripping and stumbling without falling due to stepping from one level to another"
W18.49,"Other slipping, tripping and stumbling without falling"
W19,Unspecified fall
W19.XXXA,"Unspecified fall, initial encounter"
W20,"Struck by thrown, projected or falling object"
W20.0,Struck by falling object in cave-in
W20.1,Struck by object due to collapse of building
W20.8,"Other cause of strike by thrown, projected or falling object"
W20.8XXA,"Other cause of strike by thrown, projected or falling object, initial encounter"
W21,Striking against or struck by sports equipment
W21.0,Struck by hit or thrown ball
W21.00,"Struck by hit or thrown ball, unspecified type"
W21.01,Struck by football
W21.02,Struck by soccer ball
W21.03,Struck by baseball
W21.04,Struck by golf ball
W21.05,Struck by basketball
W21.06,Struck by volleyball
W21.07,Struck by softball
W21.09,Struck by other hit or thrown ball
W21.1,"Struck by bat, racquet or club"
W21.11,Struck by baseball bat
W21.12,Struck by tennis racquet
W21.13,Struck by golf club
W21.19,"Struck by other bat, racquet or club"
W21.2,Struck by hockey stick or puck
W21.21,Struck by hockey stick
W21.211,Struck by field hockey stick
W21.22,Struck by hockey puck
W21.220,Struck by ice hockey puck
W21.221,Struck by field hockey puck
W21.3,Struck by sports foot wear
W21.31,Struck by shoe cleats
W21.32,Struck by skate blades
W21.39,Struck by other sports foot wear
W21.8,Striking against or struck by other sports equipment
W21.81,Striking against or struck by football helmet
W21.81XA,"Striking against or struck by football helmet, initial encounter"
W21.89,Striking against or struck by other sports equipment
W21.9,Striking against or struck by unspecified sports equipment
W22,Striking against or struck by other objects
W22.0,Striking against stationary object
W22.01,Walked into wall
W22.02,Walked into lamppost
W22.03,Walked into furniture
W22.04,Striking against wall of swimming pool
W22.042,Striking against wall of swimming pool causing other injury
W22.09,Striking against other stationary object
W22.1,Striking against or struck by automobile airbag
W22.10,Striking against or struck by unspecified automobile airbag
W22.11,Striking against or struck by driver side automobile airbag
W22.12,Striking against or struck by front passenger side automobile airbag
W22.19,Striking against or struck by other automobile airbag
W22.8,Striking against or struck by other objects
W22.8XXA,"Striking against or struck by other objects, initial encounter"
W23,"Caught, crushed, jammed or pinched in or between objects"
W23.0,"Caught, crushed, jammed, or pinched between moving objects"
W23.0XXA,"Caught, crushed, jammed, or pinched between moving objects, initial encounter"
W23.1,"Caught, crushed, jammed, or pinched between stationary objects"
W23.2XXA,"Caught, crushed, jammed or pinched between a moving and stationary object, initial encounter"
W24,"Contact with lifting and transmission devices, not elsewhere classified"
W24.0,"Contact with lifting devices, not elsewhere classified"
W24.0XXA,"Contact with lifting devices, not elsewhere classified, initial encounter"
W24.1,"Contact with transmission devices, not elsewhere classified"
W25,Contact with sharp glass
W25.XXXA,"Contact with sharp glass, initial encounter"
W26,Contact with other sharp objects
W26.0,Contact with knife
W26.0XXA,"Contact with knife, initial encounter"
W26.1,Contact with sword or dagger
W26.8,"Contact with other sharp object(s), not elsewhere classified"
W26.8XXA,"Contact with other sharp object(s), not elsewhere classified, initial encounter"
W26.9,Contact with unspecified sharp object(s)
W27,Contact with nonpowered hand tool
W27.0,Contact with workbench tool
W27.1,Contact with garden tool
W27.2,Contact with scissors
W27.3,Contact with needle (sewing)
W27.4,Contact with kitchen utensil
W27.4XXA,"Contact with kitchen utensil, initial encounter"
W27.5,Contact with paper-cutter
W27.8,Contact with other nonpowered hand tool
W28,Contact with powered lawn mower
W28.XXXA,"Contact with powered lawn mower, initial encounter"
W29,Contact with other powered hand tools and household machinery
W29.0,Contact with powered kitchen appliance
W29.1,Contact with electric knife
W29.2,Contact with other powered household machinery
W29.3,Contact with powered garden and outdoor hand tools and machinery
W29.3XXA,"Contact with powered garden and outdoor hand tools and machinery, initial encounter"
W29.4,Contact with nail gun
W29.4XXA,"Contact with nail gun, initial encounter"
W29.8,Contact with other powered hand tools and household machinery
W30,Contact with agricultural machinery
W30.0,Contact with combine harvester
W30.1,Contact with power take-off devices (PTO)
W30.3,Contact with grain storage elevator
W30.8,Contact with other specified agricultural machinery
W30.81,Contact with agricultural transport vehicle in stationary use
W30.89,Contact with other specified agricultural machinery
W30.9,Contact with unspecified agricultural machinery
W30.9XXA,"Contact with unspecified agricultural machinery, initial encounter"
W31,Contact with other and unspecified machinery
W31.0,Contact with mining and earth-drilling machinery
W31.1,Contact with metalworking machines
W31.2,Contact with powered woodworking and forming machines
W31.3,Contact with prime movers
W31.8,Contact with other specified machinery
W31.81,Contact with recreational machinery
W31.82,Contact with other commercial machinery
W31.82XA,"Contact with other commercial machinery, initial encounter"
W31.83,Contact with special construction vehicle in stationary use
W31.89,Contact with other specified machinery
W31.89XA,"Contact with other specified machinery, initial encounter"
W31.9,Contact with unspecified machinery
W31.9XXA,"Contact with unspecified machinery, initial encounter"
W32,Accidental handgun discharge and malfunction
W32.0,Accidental handgun discharge
W32.0XXA,"Accidental handgun discharge, initial encounter"
W32.1,Accidental handgun malfunction
W32.1XXD,"Accidental handgun malfunction, subsequent encounter"
W33,"Accidental rifle, shotgun and larger firearm discharge and malfunction"
W33.0,"Accidental rifle, shotgun and larger firearm discharge"
W33.00,Accidental discharge of unspecified larger firearm
W33.00XA,"Accidental discharge of unspecified larger firearm, initial encounter"
W33.01,Accidental discharge of shotgun
W33.02,Accidental discharge of hunting rifle
W33.03,Accidental discharge of machine gun
W33.09,Accidental discharge of other larger firearm
W33.1,"Accidental rifle, shotgun and larger firearm malfunction"
W33.10,Accidental malfunction of unspecified larger firearm
W33.12,Accidental malfunction of hunting rifle
W33.13,Accidental malfunction of machine gun
W33.19,Accidental malfunction of other larger firearm
W34,Accidental discharge and malfunction from other and unspecified firearms and guns
W34.0,Accidental discharge from other and unspecified firearms and guns
W34.00,Accidental discharge from unspecified firearms or gun
W34.00XA,"Accidental discharge from unspecified firearms or gun, initial encounter"
W34.01,"Accidental discharge of gas, air or spring-operated guns"
W34.010,Accidental discharge of airgun
W34.011,Accidental discharge of paintball gun
W34.018,"Accidental discharge of other gas, air or spring-operated gun"
W34.09,Accidental discharge from other specified firearms
W34.1,Accidental malfunction from other and unspecified firearms and guns
W34.10,Accidental malfunction from unspecified firearms or gun
W34.110,Accidental malfunction of airgun
W34.118,"Accidental malfunction of other gas, air or spring-operated gun"
W34.19,Accidental malfunction from other specified firearms
W36.1,Explosion and rupture of aerosol can
W36.2,Explosion and rupture of air tank
W36.3,Explosion and rupture of pressurized-gas tank
W36.8,Explosion and rupture of other gas cylinder
W36.9,Explosion and rupture of unspecified gas cylinder
W37,"Explosion and rupture of pressurized tire, pipe or hose"
W37.0,Explosion of bicycle tire
W37.8,"Explosion and rupture of other pressurized tire, pipe or hose"
W38,Explosion and rupture of other specified pressurized devices
W39,Discharge of firework
W39.XXXA,"Discharge of firework, initial encounter"
W40,Explosion of other materials
W40.0,Explosion of blasting material
W40.1,Explosion of explosive gases
W40.8,Explosion of other specified explosive materials
W40.9,Explosion of unspecified explosive materials
W40.9XXA,"Explosion of unspecified explosive materials, initial encounter"
W42,Exposure to noise
W42.0,Exposure to supersonic waves
W42.9,Exposure to other noise
W45,Foreign body or object entering through skin
W45.0,Nail entering through skin
W45.8,Other foreign body or object entering through skin
W45.8XXA,"Other foreign body or object entering through skin, initial encounter"
W46,Contact with hypodermic needle
W46.0,Contact with hypodermic needle
W46.1,Contact with contaminated hypodermic needle
W49,Exposure to other inanimate mechanical forces
W49.0,Item causing external constriction
W49.01,Hair causing external constriction
W49.02,String or thread causing external constriction
W49.03,Rubber band causing external constriction
W49.04,Ring or other jewelry causing external constriction
W49.09,Other specified item causing external constriction
W49.9,Exposure to other inanimate mechanical forces
W50,"Accidental hit, strike, kick, twist, bite or scratch by another person"
W50.0,Accidental hit or strike by another person
W50.1,Accidental kick by another person
W50.2,Accidental twist by another person
W50.3,Accidental bite by another person
W50.4,Accidental scratch by another person
W51,Accidental striking against or bumped into by another person
W51.XXXA,"Accidental striking against or bumped into by another person, initial encounter"
W52,"Crushed, pushed or stepped on by crowd or human stampede"
W53,Contact with rodent
W53.01,Bitten by mouse
W53.11,Bitten by rat
W53.2,Contact with squirrel
W53.21,Bitten by squirrel
W53.81,Bitten by other rodent
W53.89,Other contact with other rodent
W54,Contact with dog
W54.0,Bitten by dog
W54.0XXA,"Bitten by dog, initial encounter"
W54.1,Struck by dog
W54.8,Other contact with dog
W55,Contact with other mammals
W55.0,Contact with cat
W55.01,Bitten by cat
W55.01XA,"Bitten by cat, initial encounter"
W55.03,Scratched by cat
W55.09,Other contact with cat
W55.1,Contact with horse
W55.11,Bitten by horse
W55.12,Struck by horse
W55.12XA,"Struck by horse, initial encounter"
W55.19,Other contact with horse
W55.2,Contact with cow
W55.21,Bitten by cow
W55.22,Struck by cow
W55.22XA,"Struck by cow, initial encounter"
W55.29,Other contact with cow
W55.3,Contact with other hoof stock
W55.31,Bitten by other hoof stock
W55.32,Struck by other hoof stock
W55.39,Other contact with other hoof stock
W55.4,Contact with pig
W55.41,Bitten by pig
W55.49,Other contact with pig
W55.5,Contact with raccoon
W55.51,Bitten by raccoon
W55.52,Struck by raccoon
W55.59,Other contact with raccoon
W55.8,Contact with other mammals
W55.81,Bitten by other mammals
W55.81XA,"Bitten by other mammals, initial encounter"
W55.82,Struck by other mammals
W55.89,Other contact with other mammals
W56,Contact with nonvenomous marine animal
W56.01,Bitten by dolphin
W56.02,Struck by dolphin
W56.19,Other contact with sea lion
W56.2,Contact with orca
W56.21,Bitten by orca
W56.22,Struck by orca
W56.29,Other contact with orca
W56.3,Contact with other marine mammals
W56.31,Bitten by other marine mammals
W56.39,Other contact with other marine mammals
W56.4,Contact with shark
W56.41,Bitten by shark
W56.41XA,"Bitten by shark, initial encounter"
W56.5,Contact with other fish
W56.51,Bitten by other fish
W56.52,Struck by other fish
W56.59,Other contact with other fish
W56.81,Bitten by other nonvenomous marine animals
W56.81XA,"Bitten by other nonvenomous marine animals, initial encounter"
W57,Bitten or stung by nonvenomous insect and other nonvenomous arthropods
W57.XXXD,"Bitten or stung by nonvenomous insect and other nonvenomous arthropods, subsequent encounter"
W58,Contact with crocodile or alligator
W58.01,Bitten by alligator
W58.02,Struck by alligator
W58.09,Other contact with alligator
W58.1,Contact with crocodile
W58.11,Bitten by crocodile
W58.12,Struck by crocodile
W59,Contact with other nonvenomous reptiles
W59.0,Contact with nonvenomous lizards
W59.1,Contact with nonvenomous snakes
W59.11,Bitten by nonvenomous snake
W59.12,Struck by nonvenomous snake
W59.13,Crushed by nonvenomous snake
W59.19,Other contact with nonvenomous snake
W59.21,Bitten by turtle
W59.8,Contact with other nonvenomous reptiles
W59.81,Bitten by other nonvenomous reptiles
W60,Contact with nonvenomous plant thorns and spines and sharp leaves
W61,Contact with birds (domestic) (wild)
W61.09,Other contact with parrot
W61.1,Contact with macaw
W61.12,Struck by macaw
W61.3,Contact with chicken
W61.33,Pecked by chicken
W61.4,Contact with turkey
W61.42,Struck by turkey
W61.49,Other contact with turkey
W61.6,Contact with duck
W61.62,Struck by duck
W61.9,Contact with other birds
W61.91,Bitten by other birds
W61.99,Other contact with other birds
W64,Exposure to other animate mechanical forces
W64.XXXA,"Exposure to other animate mechanical forces, initial encounter"
W65,Accidental drowning and submersion while in bath-tub
W67,Accidental drowning and submersion while in swimming-pool
W69,Accidental drowning and submersion while in natural water
W74,Unspecified cause of accidental drowning and submersion
W74.XXXA,"Unspecified cause of accidental drowning and submersion, initial encounter"
W85,Exposure to electric transmission lines
W86,Exposure to other specified electric current
W86.1,"Exposure to industrial wiring, appliances and electrical machinery"
W86.8,Exposure to other electric current
W86.8XXA,"Exposure to other electric current, initial encounter"
W86.8XXS,"Exposure to other electric current, sequela"
W88,Exposure to ionizing radiation
W88.1,Exposure to radioactive isotopes
W88.1XXA,"Exposure to radioactive isotopes, initial encounter"
W89.0,Exposure to welding light (arc)
W89.1,Exposure to tanning bed
W89.8,Exposure to other man-made visible and ultraviolet light
W89.9,Exposure to unspecified man-made visible and ultraviolet light
W90,Exposure to other nonionizing radiation
W90.8XXA,"Exposure to other nonionizing radiation, initial encounter"
W92,Exposure to excessive heat of man-made origin
W93,Exposure to excessive cold of man-made origin
W93.0,Contact with or inhalation of dry ice
W93.1,Contact with or inhalation of liquid air
W93.8,Exposure to other excessive cold of man-made origin
W94,Exposure to high and low air pressure and changes in air pressure
W94.11,Exposure to residence or prolonged visit at high altitude
W94.2,Exposure to rapid changes in air pressure during ascent
W94.21,Exposure to reduction in atmospheric pressure while surfacing from deep-water diving
W94.22,Exposure to reduction in atmospheric pressure while surfacing from underground
W94.31,Exposure to sudden change in air pressure in aircraft during descent
W99,Exposure to other man-made environmental factors
X00,Exposure to uncontrolled fire in building or structure
X00.0,Exposure to flames in uncontrolled fire in building or structure
X00.0XXA,"Exposure to flames in uncontrolled fire in building or structure, initial encounter"
X00.1,Exposure to smoke in uncontrolled fire in building or structure
X00.2,Injury due to collapse of burning building or structure in uncontrolled fire
X00.3,Fall from burning building or structure in uncontrolled fire
X00.4,Hit by object from burning building or structure in uncontrolled fire
X00.8,Other exposure to uncontrolled fire in building or structure
X01,"Exposure to uncontrolled fire, not in building or structure"
X01.0,"Exposure to flames in uncontrolled fire, not in building or structure"
X01.0XXA,"Exposure to flames in uncontrolled fire, not in building or structure, initial encounter"
X01.1,"Exposure to smoke in uncontrolled fire, not in building or structure"
X01.1XXS,"Exposure to smoke in uncontrolled fire, not in building or structure, sequela"
X01.3,"Fall due to uncontrolled fire, not in building or structure"
X01.8XXA,"Other exposure to uncontrolled fire, not in building or structure, initial encounter"
X02,Exposure to controlled fire in building or structure
X02.0,Exposure to flames in controlled fire in building or structure
X02.1,Exposure to smoke in controlled fire in building or structure
X02.2,Injury due to collapse of burning building or structure in controlled fire
X02.3,Fall from burning building or structure in controlled fire
X02.4,Hit by object from burning building or structure in controlled fire
X02.8,Other exposure to controlled fire in building or structure
X03,"Exposure to controlled fire, not in building or structure"
X03.0,"Exposure to flames in controlled fire, not in building or structure"
X03.1,"Exposure to smoke in controlled fire, not in building or structure"
X04,Exposure to ignition of highly flammable material
X05,Exposure to ignition or melting of nightwear
X06,Exposure to ignition or melting of other clothing and apparel
X08,"Exposure to other specified smoke, fire and flames"
X08.0,Exposure to bed fire
X08.19,Exposure to sofa fire due to other burning material
X08.2,Exposure to other furniture fire
X08.20,Exposure to other furniture fire due to unspecified burning material
X08.29,Exposure to other furniture fire due to other burning material
X08.8,"Exposure to other specified smoke, fire and flames"
X08.8XXA,"Exposure to other specified smoke, fire and flames, initial encounter"
X10,"Contact with hot drinks, food, fats and cooking oils"
X10.0,Contact with hot drinks
X10.1,Contact with hot food
X10.2,Contact with fats and cooking oils
X11,Contact with hot tap-water
X11.0,Contact with hot water in bath or tub
X11.1,Contact with running hot water
X11.8,Contact with other hot tap-water
X12,Contact with other hot fluids
X13,Contact with steam and other hot vapors
X13.0,Inhalation of steam and other hot vapors
X13.1,Other contact with steam and other hot vapors
X14,Contact with hot air and other hot gases
X14.0,Inhalation of hot air and gases
X14.1,Other contact with hot air and other hot gases
X15,Contact with hot household appliances
X15.0,Contact with hot stove (kitchen)
X15.2,Contact with hotplate
X15.3,Contact with hot saucepan or skillet
X15.8,Contact with other hot household appliances
X16,"Contact with hot heating appliances, radiators and pipes"
X17,"Contact with hot engines, machinery and tools"
X17.XXXA,"Contact with hot engines, machinery and tools, initial encounter"
X18,Contact with other hot metals
X19,Contact with other heat and hot substances
X30,Exposure to excessive natural heat
X30.XXXA,"Exposure to excessive natural heat, initial encounter"
X31,Exposure to excessive natural cold
X31.XXXA,"Exposure to excessive natural cold, initial encounter"
X32,Exposure to sunlight
X34,Earthquake
X35,Volcanic eruption
X36,"Avalanche, landslide and other earth movements"
X36.0,Collapse of dam or man-made structure causing earth movement
X37,Cataclysmic storm
X37.0,Hurricane
X37.1,Tornado
X37.2,Blizzard (snow)(ice)
X37.3,Dust storm
X37.9,Unspecified cataclysmic storm
X38,Flood
X39,Exposure to other forces of nature
X39.08,Exposure to other natural radiation
X39.8XXA,"Other exposure to forces of nature, initial encounter"
X50,Overexertion and strenuous or repetitive movements
X50.0,Overexertion from strenuous movement or load
X50.0XXA,"Overexertion from strenuous movement or load, initial encounter"
X50.0XXD,"Overexertion from strenuous movement or load, subsequent encounter"
X50.1,Overexertion from prolonged static or awkward postures
X50.3,Overexertion from repetitive movements
X50.9,Other and unspecified overexertion or strenuous movements or postures
X58,Exposure to other specified factors
X58.XXXA,"Exposure to other specified factors, initial encounter"
X58.XXXS,"Exposure to other specified factors, sequela"
X71,Intentional self-harm by drowning and submersion
X71.0,Intentional self-harm by drowning and submersion while in bathtub
X71.1,Intentional self-harm by drowning and submersion while in swimming pool
X71.3,Intentional self-harm by drowning and submersion in natural water
X71.9,"Intentional self-harm by drowning and submersion, unspecified"
X72,Intentional self-harm by handgun discharge
X72.XXXA,"Intentional self-harm by handgun discharge, initial encounter"
X73,"Intentional self-harm by rifle, shotgun and larger firearm discharge"
X73.0,Intentional self-harm by shotgun discharge
X73.0XXA,"Intentional self-harm by shotgun discharge, initial encounter"
X73.1,Intentional self-harm by hunting rifle discharge
X73.2XXA,"Intentional self-harm by machine gun discharge, initial encounter"
X74,Intentional self-harm by other and unspecified firearm and gun discharge
X74.01,Intentional self-harm by airgun
X74.8,Intentional self-harm by other firearm discharge
X74.9,Intentional self-harm by unspecified firearm discharge
X74.9XXA,"Intentional self-harm by unspecified firearm discharge, initial encounter"
X75,Intentional self-harm by explosive material
X76,"Intentional self-harm by smoke, fire and flames"
X77.3,Intentional self-harm by hot household appliances
X77.9,Intentional self-harm by unspecified hot objects
X78,Intentional self-harm by sharp object
X78.0,Intentional self-harm by sharp glass
X78.1,Intentional self-harm by knife
X78.8,Intentional self-harm by other sharp object
X78.9,Intentional self-harm by unspecified sharp object
X78.9XXA,"Intentional self-harm by unspecified sharp object, initial encounter"
X79,Intentional self-harm by blunt object
X80,Intentional self-harm by jumping from a high place
X81,Intentional self-harm by jumping or lying in front of moving object
X81.0,Intentional self-harm by jumping or lying in front of motor vehicle
X81.1,Intentional self-harm by jumping or lying in front of (subway) train
X81.8,Intentional self-harm by jumping or lying in front of other moving object
X82,Intentional self-harm by crashing of motor vehicle
X82.0,Intentional collision of motor vehicle with other motor vehicle
X82.1,Intentional collision of motor vehicle with train
X82.2,Intentional collision of motor vehicle with tree
X82.2XXA,"Intentional collision of motor vehicle with tree, initial encounter"
X82.8,Other intentional self-harm by crashing of motor vehicle
X83,Intentional self-harm by other specified means
X83.0,Intentional self-harm by crashing of aircraft
X83.1,Intentional self-harm by electrocution
X83.1XXA,"Intentional self-harm by electrocution, initial encounter"
X83.8,Intentional self-harm by other specified means
X83.8XXA,"Intentional self-harm by other specified means, initial encounter"
X92.0,Assault by drowning and submersion while in bathtub
X92.1,Assault by drowning and submersion while in swimming pool
X92.3,Assault by drowning and submersion in natural water
X92.8,Other assault by drowning and submersion
X92.9,"Assault by drowning and submersion, unspecified"
X93,Assault by handgun discharge
X94,"Assault by rifle, shotgun and larger firearm discharge"
X94.0,Assault by shotgun
X94.2,Assault by machine gun
X94.2XXA,"Assault by machine gun, initial encounter"
X95,Assault by other and unspecified firearm and gun discharge
X95.0,"Assault by gas, air or spring-operated guns"
X95.01,Assault by airgun discharge
X95.02,Assault by paintball gun discharge
X95.09,"Assault by other gas, air or spring-operated gun"
X95.8,Assault by other firearm discharge
X95.8XXA,"Assault by other firearm discharge, initial encounter"
X95.9,Assault by unspecified firearm discharge
X95.9XXA,"Assault by unspecified firearm discharge, initial encounter"
X96,Assault by explosive material
X96.0,Assault by antipersonnel bomb
X96.1,Assault by gasoline bomb
X96.9,Assault by unspecified explosive
X97,"Assault by smoke, fire and flames"
X98.0,Assault by steam or hot vapors
X98.1,Assault by hot tap water
X98.2,Assault by hot fluids
X98.8,Assault by other hot objects
X98.9,Assault by unspecified hot objects
X99,Assault by sharp object
X99.0,Assault by sharp glass
X99.1,Assault by knife
X99.1XXA,"Assault by knife, initial encounter"
X99.2,Assault by sword or dagger
X99.8,Assault by other sharp object
X99.8XXA,"Assault by other sharp object, initial encounter"
X99.9,Assault by unspecified sharp object
X99.9XXA,"Assault by unspecified sharp object, initial encounter"
Y00,Assault by blunt object
Y00.XXXA,"Assault by blunt object, initial encounter"
Y01,Assault by pushing from high place
Y02,Assault by pushing or placing victim in front of moving object
Y02.0,Assault by pushing or placing victim in front of motor vehicle
Y02.1,Assault by pushing or placing victim in front of (subway) train
Y02.8,Assault by pushing or placing victim in front of other moving object
Y03,Assault by crashing of motor vehicle
Y03.0,Assault by being hit or run over by motor vehicle
Y03.0XXA,"Assault by being hit or run over by motor vehicle, initial encounter"
Y03.8,Other assault by crashing of motor vehicle
Y04,Assault by bodily force
Y04.0,Assault by unarmed brawl or fight
Y04.0XXA,"Assault by unarmed brawl or fight, initial encounter"
Y04.1,Assault by human bite
Y04.1XXA,"Assault by human bite, initial encounter"
Y04.2,Assault by strike against or bumped into by another person
Y04.8,Assault by other bodily force
Y04.8XXA,"Assault by other bodily force, initial encounter"
Y07.0,"Spouse or partner, perpetrator of maltreatment and neglect"
Y07.01,"Husband, perpetrator of maltreatment and neglect"
Y07.02,"Wife, perpetrator of maltreatment and neglect"
Y07.03,"Male partner, perpetrator of maltreatment and neglect"
Y07.04,"Female partner, perpetrator of maltreatment and neglect"
Y07.1,"Parent (adoptive) (biological), perpetrator of maltreatment and neglect"
Y07.11,"Biological father, perpetrator of maltreatment and neglect"
Y07.12,"Biological mother, perpetrator of maltreatment and neglect"
Y07.13,"Adoptive father, perpetrator of maltreatment and neglect"
Y07.14,"Adoptive mother, perpetrator of maltreatment and neglect"
Y07.4,"Other family member, perpetrator of maltreatment and neglect"
Y07.410,"Brother, perpetrator of maltreatment and neglect"
Y07.421,"Foster mother, perpetrator of maltreatment and neglect"
Y07.430,"Stepfather, perpetrator of maltreatment and neglect"
Y07.432,"Male friend of parent (co-residing in household), perpetrator of maltreatment and neglect"
Y07.434,"Female friend of parent (co-residing in household), perpetrator of maltreatment and neglect"
Y07.435,"Stepbrother, perpetrator or maltreatment and neglect"
Y07.490,"Male cousin, perpetrator of maltreatment and neglect"
Y07.491,"Female cousin, perpetrator of maltreatment and neglect"
Y07.499,"Other family member, perpetrator of maltreatment and neglect"
Y07.51,"Daycare provider, perpetrator of maltreatment and neglect"
Y07.510,"At-home childcare provider, perpetrator of maltreatment and neglect"
Y07.512,"At-home adultcare provider, perpetrator of maltreatment and neglect"
Y07.513,"Adultcare center provider, perpetrator of maltreatment and neglect"
Y07.52,"Healthcare provider, perpetrator of maltreatment and neglect"
Y07.521,"Mental health provider, perpetrator of maltreatment and neglect"
Y07.528,"Other therapist or healthcare provider, perpetrator of maltreatment and neglect"
Y07.529,"Unspecified healthcare provider, perpetrator of maltreatment and neglect"
Y07.59,"Other non-family member, perpetrator of maltreatment and neglect"
Y07.9,Unspecified perpetrator of maltreatment and neglect
Y08,Assault by other specified means
Y08.0,Assault by strike by sport equipment
Y08.01,Assault by strike by hockey stick
Y08.02,Assault by strike by baseball bat
Y08.09,Assault by strike by other specified type of sport equipment
Y08.8,Assault by other specified means
Y08.81,Assault by crashing of aircraft
Y08.89,Assault by other specified means
Y08.89XA,"Assault by other specified means, initial encounter"
Y09,Assault by unspecified means
Y21,"Drowning and submersion, undetermined intent"
Y21.0,"Drowning and submersion while in bathtub, undetermined intent"
Y21.1,"Drowning and submersion after fall into bathtub, undetermined intent"
Y21.2,"Drowning and submersion while in swimming pool, undetermined intent"
Y21.3,"Drowning and submersion after fall into swimming pool, undetermined intent"
Y21.4,"Drowning and submersion in natural water, undetermined intent"
Y21.8,"Other drowning and submersion, undetermined intent"
Y21.9,"Unspecified drowning and submersion, undetermined intent"
Y22,"Handgun discharge, undetermined intent"
Y22.XXXS,"Handgun discharge, undetermined intent, sequela"
Y23,"Rifle, shotgun and larger firearm discharge, undetermined intent"
Y23.0,"Shotgun discharge, undetermined intent"
Y23.0XXA,"Shotgun discharge, undetermined intent, initial encounter"
Y23.1,"Hunting rifle discharge, undetermined intent"
Y23.8,"Other larger firearm discharge, undetermined intent"
Y23.9,"Unspecified larger firearm discharge, undetermined intent"
Y24,"Other and unspecified firearm discharge, undetermined intent"
Y24.0,"Airgun discharge, undetermined intent"
Y24.8,"Other firearm discharge, undetermined intent"
Y24.8XXA,"Other firearm discharge, undetermined intent, initial encounter"
Y24.9,"Unspecified firearm discharge, undetermined intent"
Y25,"Contact with explosive material, undetermined intent"
Y26,"Exposure to smoke, fire and flames, undetermined intent"
Y26.XXXA,"Exposure to smoke, fire and flames, undetermined intent, initial encounter"
Y27.0,"Contact with steam and hot vapors, undetermined intent"
Y27.1,"Contact with hot tap water, undetermined intent"
Y27.2,"Contact with hot fluids, undetermined intent"
Y27.2XXA,"Contact with hot fluids, undetermined intent, initial encounter"
Y27.3,"Contact with hot household appliance, undetermined intent"
Y27.8,"Contact with other hot objects, undetermined intent"
Y27.9,"Contact with unspecified hot objects, undetermined intent"
Y28,"Contact with sharp object, undetermined intent"
Y28.0,"Contact with sharp glass, undetermined intent"
Y28.1,"Contact with knife, undetermined intent"
Y28.1XXA,"Contact with knife, undetermined intent, initial encounter"
Y28.8,"Contact with other sharp object, undetermined intent"
Y28.8XXA,"Contact with other sharp object, undetermined intent, initial encounter"
Y28.8XXD,"Contact with other sharp object, undetermined intent, subsequent encounter"
Y28.9,"Contact with unspecified sharp object, undetermined intent"
Y28.9XXA,"Contact with unspecified sharp object, undetermined intent, initial encounter"
Y29,"Contact with blunt object, undetermined intent"
Y30,"Falling, jumping or pushed from a high place, undetermined intent"
Y30.XXXA,"Falling, jumping or pushed from a high place, undetermined intent, initial encounter"
Y31,"Falling, lying or running before or into moving object, undetermined intent"
Y32,"Crashing of motor vehicle, undetermined intent"
Y32.XXXA,"Crashing of motor vehicle, undetermined intent, initial encounter"
Y33,"Other specified events, undetermined intent"
Y33.XXXA,"Other specified events, undetermined intent, initial encounter"
Y35,Legal intervention
