eSituation_12,DiagnosisCodeDescr
S82.8,Other fractures of lower leg
S82.839A,"Other fracture of upper and lower end of unspecified fibula, initial encounter for closed fracture"
S82.84,Bimalleolar fracture of lower leg
S82.843A,"Displaced bimalleolar fracture of unspecified lower leg, initial encounter for closed fracture"
S82.853A,"Displaced trimalleolar fracture of unspecified lower leg, initial encounter for closed fracture"
S82.853B,"Displaced trimalleolar fracture of unspecified lower leg, initial encounter for open fracture type I or II"
S82.866K,"Nondisplaced Maisonneuve's fracture of unspecified leg, subsequent encounter for closed fracture with nonunion"
S82.891,Other fracture of right lower leg
S82.891A,"Other fracture of right lower leg, initial encounter for closed fracture"
S82.891B,"Other fracture of right lower leg, initial encounter for open fracture type I or II"
S82.891D,"Other fracture of right lower leg, subsequent encounter for closed fracture with routine healing"
S82.891S,"Other fracture of right lower leg, sequela"
S82.892,Other fracture of left lower leg
S82.892A,"Other fracture of left lower leg, initial encounter for closed fracture"
S82.892D,"Other fracture of left lower leg, subsequent encounter for closed fracture with routine healing"
S82.899,Other fracture of unspecified lower leg
S82.899A,"Other fracture of unspecified lower leg, initial encounter for closed fracture"
S82.899B,"Other fracture of unspecified lower leg, initial encounter for open fracture type I or II"
S82.899C,"Other fracture of unspecified lower leg, initial encounter for open fracture type IIIA, IIIB, or IIIC"
S82.899D,"Other fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
S82.899S,"Other fracture of unspecified lower leg, sequela"
S82.9,Unspecified fracture of lower leg
S82.90,Unspecified fracture of unspecified lower leg
S82.90XA,"Unspecified fracture of unspecified lower leg, initial encounter for closed fracture"
S82.90XB,"Unspecified fracture of unspecified lower leg, initial encounter for open fracture type I or II"
S82.90XD,"Unspecified fracture of unspecified lower leg, subsequent encounter for closed fracture with routine healing"
S82.91XA,"Unspecified fracture of right lower leg, initial encounter for closed fracture"
S82.91XB,"Unspecified fracture of right lower leg, initial encounter for open fracture type I or II"
S82.91XS,"Unspecified fracture of right lower leg, sequela"
S82.92,Unspecified fracture of left lower leg
S82.92XA,"Unspecified fracture of left lower leg, initial encounter for closed fracture"
S82.92XB,"Unspecified fracture of left lower leg, initial encounter for open fracture type I or II"
S83,Dislocation and sprain of joints and ligaments of knee
S83.0,Subluxation and dislocation of patella
S83.00,Unspecified subluxation and dislocation of patella
S83.004,Unspecified dislocation of right patella
S83.004A,"Unspecified dislocation of right patella, initial encounter"
S83.005,Unspecified dislocation of left patella
S83.006A,"Unspecified dislocation of unspecified patella, initial encounter"
S83.015,Lateral dislocation of left patella
S83.016,Lateral dislocation of unspecified patella
S83.094,Other dislocation of right patella
S83.095,Other dislocation of left patella
S83.10,Unspecified subluxation and dislocation of knee
S83.104,Unspecified dislocation of right knee
S83.105A,"Unspecified dislocation of left knee, initial encounter"
S83.106A,"Unspecified dislocation of unspecified knee, initial encounter"
S83.111A,"Anterior subluxation of proximal end of tibia, right knee, initial encounter"
S83.112A,"Anterior subluxation of proximal end of tibia, left knee, initial encounter"
S83.114,"Anterior dislocation of proximal end of tibia, right knee"
S83.135,"Medial dislocation of proximal end of tibia, left knee"
S83.19,Other subluxation and dislocation of knee
S83.194A,"Other dislocation of right knee, initial encounter"
S83.195,Other dislocation of left knee
S83.196A,"Other dislocation of unspecified knee, initial encounter"
S83.209A,"Unspecified tear of unspecified meniscus, current injury, unspecified knee, initial encounter"
S83.209S,"Unspecified tear of unspecified meniscus, current injury, unspecified knee, sequela"
S83.219A,"Bucket-handle tear of medial meniscus, current injury, unspecified knee, initial encounter"
S83.8,Sprain of other specified parts of knee
S83.9,Sprain of unspecified site of knee
S83.90,Sprain of unspecified site of unspecified knee
S83.90XA,"Sprain of unspecified site of unspecified knee, initial encounter"
S83.91XA,"Sprain of unspecified site of right knee, initial encounter"
S85.80,Unspecified injury of other blood vessels at lower leg level
S85.81,Laceration of other blood vessels at lower leg level
S85.811,"Laceration of other blood vessels at lower leg level, right leg"
S85.911,"Laceration of unspecified blood vessel at lower leg level, right leg"
S85.912,"Laceration of unspecified blood vessel at lower leg level, left leg"
S86.0,Injury of Achilles tendon
S86.102A,"Unspecified injury of other muscle(s) and tendon(s) of posterior muscle group at lower leg level, left leg, initial encounter"
S86.229D,"Laceration of muscle(s) and tendon(s) of anterior muscle group at lower leg level, unspecified leg, subsequent encounter"
S86.80,Unspecified injury of other muscles and tendons at lower leg level
S86.909,"Unspecified injury of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg"
S86.919A,"Strain of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter"
S86.922,"Laceration of unspecified muscle(s) and tendon(s) at lower leg level, left leg"
S86.929,"Laceration of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg"
S86.929A,"Laceration of unspecified muscle(s) and tendon(s) at lower leg level, unspecified leg, initial encounter"
S86.991A,"Other injury of unspecified muscle(s) and tendon(s) at lower leg level, right leg, initial encounter"
S86.992A,"Other injury of unspecified muscle(s) and tendon(s) at lower leg level, left leg, initial encounter"
S87.0,Crushing injury of knee
S87.00,Crushing injury of unspecified knee
S87.00XA,"Crushing injury of unspecified knee, initial encounter"
S87.01XA,"Crushing injury of right knee, initial encounter"
S87.02,Crushing injury of left knee
S87.02XA,"Crushing injury of left knee, initial encounter"
S87.8,Crushing injury of lower leg
S87.80,Crushing injury of unspecified lower leg
S87.80XA,"Crushing injury of unspecified lower leg, initial encounter"
S87.81,Crushing injury of right lower leg
S87.82,Crushing injury of left lower leg
S88.011,"Complete traumatic amputation at knee level, right lower leg"
S88.011A,"Complete traumatic amputation at knee level, right lower leg, initial encounter"
S88.011D,"Complete traumatic amputation at knee level, right lower leg, subsequent encounter"
S88.012,"Complete traumatic amputation at knee level, left lower leg"
S88.012A,"Complete traumatic amputation at knee level, left lower leg, initial encounter"
S88.012D,"Complete traumatic amputation at knee level, left lower leg, subsequent encounter"
S88.019A,"Complete traumatic amputation at knee level, unspecified lower leg, initial encounter"
S88.021,"Partial traumatic amputation at knee level, right lower leg"
S88.029A,"Partial traumatic amputation at knee level, unspecified lower leg, initial encounter"
S88.111,"Complete traumatic amputation at level between knee and ankle, right lower leg"
S88.111A,"Complete traumatic amputation at level between knee and ankle, right lower leg, initial encounter"
S88.112,"Complete traumatic amputation at level between knee and ankle, left lower leg"
S88.112A,"Complete traumatic amputation at level between knee and ankle, left lower leg, initial encounter"
S88.119A,"Complete traumatic amputation at level between knee and ankle, unspecified lower leg, initial encounter"
S88.119S,"Complete traumatic amputation at level between knee and ankle, unspecified lower leg, sequela"
S88.91,"Complete traumatic amputation of lower leg, level unspecified"
S88.911A,"Complete traumatic amputation of right lower leg, level unspecified, initial encounter"
S88.912A,"Complete traumatic amputation of left lower leg, level unspecified, initial encounter"
S88.912D,"Complete traumatic amputation of left lower leg, level unspecified, subsequent encounter"
S88.919A,"Complete traumatic amputation of unspecified lower leg, level unspecified, initial encounter"
S88.922A,"Partial traumatic amputation of left lower leg, level unspecified, initial encounter"
S88.929A,"Partial traumatic amputation of unspecified lower leg, level unspecified, initial encounter"
S89,Other and unspecified injuries of lower leg
S89.30,Unspecified physeal fracture of lower end of fibula
S89.8,Other specified injuries of lower leg
S89.80XA,"Other specified injuries of unspecified lower leg, initial encounter"
S89.81,Other specified injuries of right lower leg
S89.81XA,"Other specified injuries of right lower leg, initial encounter"
S89.82,Other specified injuries of left lower leg
S89.82XA,"Other specified injuries of left lower leg, initial encounter"
S89.9,Unspecified injury of lower leg
S89.90,Unspecified injury of unspecified lower leg
S89.90XA,"Unspecified injury of unspecified lower leg, initial encounter"
S89.91,Unspecified injury of right lower leg
S89.91XA,"Unspecified injury of right lower leg, initial encounter"
S89.92,Unspecified injury of left lower leg
S89.92XA,"Unspecified injury of left lower leg, initial encounter"
S90,"Superficial injury of ankle, foot and toes"
S90.0,Contusion of ankle
S90.00XA,"Contusion of unspecified ankle, initial encounter"
S90.01,Contusion of right ankle
S90.01XA,"Contusion of right ankle, initial encounter"
S90.02XA,"Contusion of left ankle, initial encounter"
S90.1,Contusion of toe without damage to nail
S90.111,Contusion of right great toe without damage to nail
S90.119A,"Contusion of unspecified great toe without damage to nail, initial encounter"
S90.129A,"Contusion of unspecified lesser toe(s) without damage to nail, initial encounter"
S90.2,Contusion of toe with damage to nail
S90.3,Contusion of foot
S90.30,Contusion of unspecified foot
S90.30XA,"Contusion of unspecified foot, initial encounter"
S90.31,Contusion of right foot
S90.31XA,"Contusion of right foot, initial encounter"
S90.32,Contusion of left foot
S90.32XA,"Contusion of left foot, initial encounter"
S90.41,Abrasion of toe
S90.413,"Abrasion, unspecified great toe"
S90.472,Other superficial bite of left great toe
S90.51,Abrasion of ankle
S90.511,"Abrasion, right ankle"
S90.511A,"Abrasion, right ankle, initial encounter"
S90.512,"Abrasion, left ankle"
S90.512A,"Abrasion, left ankle, initial encounter"
S90.519,"Abrasion, unspecified ankle"
S90.519A,"Abrasion, unspecified ankle, initial encounter"
S90.519S,"Abrasion, unspecified ankle, sequela"
S90.529,"Blister (nonthermal), unspecified ankle"
S90.569,"Insect bite (nonvenomous), unspecified ankle"
S90.57,Other superficial bite of ankle
S90.571,"Other superficial bite of ankle, right ankle"
S90.572,"Other superficial bite of ankle, left ankle"
S90.81,Abrasion of foot
S90.811,"Abrasion, right foot"
S90.811A,"Abrasion, right foot, initial encounter"
S90.812,"Abrasion, left foot"
S90.812A,"Abrasion, left foot, initial encounter"
S90.819,"Abrasion, unspecified foot"
S90.819A,"Abrasion, unspecified foot, initial encounter"
S90.82,Blister (nonthermal) of foot
S90.821A,"Blister (nonthermal), right foot, initial encounter"
S90.822A,"Blister (nonthermal), left foot, initial encounter"
S90.86,Insect bite (nonvenomous) of foot
S90.869,"Insect bite (nonvenomous), unspecified foot"
S90.872,Other superficial bite of left foot
S90.912A,"Unspecified superficial injury of left ankle, initial encounter"
S90.919A,"Unspecified superficial injury of unspecified ankle, initial encounter"
S90.919S,"Unspecified superficial injury of unspecified ankle, sequela"
S90.929A,"Unspecified superficial injury of unspecified foot, initial encounter"
S90.93,Unspecified superficial injury of toes
S90.932A,"Unspecified superficial injury of left great toe, initial encounter"
S90.933A,"Unspecified superficial injury of unspecified great toe, initial encounter"
S91,"Open wound of ankle, foot and toes"
S91.0,Open wound of ankle
S91.00,Unspecified open wound of ankle
S91.001A,"Unspecified open wound, right ankle, initial encounter"
S91.002A,"Unspecified open wound, left ankle, initial encounter"
S91.009A,"Unspecified open wound, unspecified ankle, initial encounter"
S91.011A,"Laceration without foreign body, right ankle, initial encounter"
S91.012A,"Laceration without foreign body, left ankle, initial encounter"
S91.051,"Open bite, right ankle"
S91.052,"Open bite, left ankle"
S91.101A,"Unspecified open wound of right great toe without damage to nail, initial encounter"
S91.101D,"Unspecified open wound of right great toe without damage to nail, subsequent encounter"
S91.102A,"Unspecified open wound of left great toe without damage to nail, initial encounter"
S91.105A,"Unspecified open wound of left lesser toe(s) without damage to nail, initial encounter"
S91.106A,"Unspecified open wound of unspecified lesser toe(s) without damage to nail, initial encounter"
S91.106D,"Unspecified open wound of unspecified lesser toe(s) without damage to nail, subsequent encounter"
S91.109A,"Unspecified open wound of unspecified toe(s) without damage to nail, initial encounter"
S91.112A,"Laceration without foreign body of left great toe without damage to nail, initial encounter"
S91.129A,"Laceration with foreign body of unspecified toe(s) without damage to nail, initial encounter"
S91.212A,"Laceration without foreign body of left great toe with damage to nail, initial encounter"
S91.3,Open wound of foot
S91.30,Unspecified open wound of foot
S91.301A,"Unspecified open wound, right foot, initial encounter"
S91.301D,"Unspecified open wound, right foot, subsequent encounter"
S91.302A,"Unspecified open wound, left foot, initial encounter"
S91.302D,"Unspecified open wound, left foot, subsequent encounter"
S91.309A,"Unspecified open wound, unspecified foot, initial encounter"
S91.309D,"Unspecified open wound, unspecified foot, subsequent encounter"
S91.311A,"Laceration without foreign body, right foot, initial encounter"
S91.312A,"Laceration without foreign body, left foot, initial encounter"
S91.319A,"Laceration without foreign body, unspecified foot, initial encounter"
S91.321A,"Laceration with foreign body, right foot, initial encounter"
S91.322A,"Laceration with foreign body, left foot, initial encounter"
S91.329,"Laceration with foreign body, unspecified foot"
S91.329A,"Laceration with foreign body, unspecified foot, initial encounter"
S91.331,"Puncture wound without foreign body, right foot"
S91.341,"Puncture wound with foreign body, right foot"
S91.342,"Puncture wound with foreign body, left foot"
S91.342A,"Puncture wound with foreign body, left foot, initial encounter"
S91.351,"Open bite, right foot"
S91.351A,"Open bite, right foot, initial encounter"
S91.352,"Open bite, left foot"
S91.352A,"Open bite, left foot, initial encounter"
S92,"Fracture of foot and toe, except ankle"
S92.109A,"Unspecified fracture of unspecified talus, initial encounter for closed fracture"
S92.109B,"Unspecified fracture of unspecified talus, initial encounter for open fracture"
S92.12,Fracture of body of talus
S92.152,Displaced avulsion fracture (chip fracture) of left talus
S92.153A,"Displaced avulsion fracture (chip fracture) of unspecified talus, initial encounter for closed fracture"
S92.209A,"Fracture of unspecified tarsal bone(s) of unspecified foot, initial encounter for closed fracture"
S92.253A,"Displaced fracture of navicular [scaphoid] of unspecified foot, initial encounter for closed fracture"
S92.302A,"Fracture of unspecified metatarsal bone(s), left foot, initial encounter for closed fracture"
S92.309A,"Fracture of unspecified metatarsal bone(s), unspecified foot, initial encounter for closed fracture"
S92.335A,"Nondisplaced fracture of third metatarsal bone, left foot, initial encounter for closed fracture"
S92.402A,"Displaced unspecified fracture of left great toe, initial encounter for closed fracture"
S92.42,Fracture of distal phalanx of great toe
S92.491S,"Other fracture of right great toe, sequela"
S92.501A,"Displaced unspecified fracture of right lesser toe(s), initial encounter for closed fracture"
S92.502A,"Displaced unspecified fracture of left lesser toe(s), initial encounter for closed fracture"
S92.502B,"Displaced unspecified fracture of left lesser toe(s), initial encounter for open fracture"
S92.503A,"Displaced unspecified fracture of unspecified lesser toe(s), initial encounter for closed fracture"
S92.811A,"Other fracture of right foot, initial encounter for closed fracture"
S92.812A,"Other fracture of left foot, initial encounter for closed fracture"
S92.819A,"Other fracture of unspecified foot, initial encounter for closed fracture"
S92.9,Unspecified fracture of foot and toe
S92.90,Unspecified fracture of foot
S92.901,Unspecified fracture of right foot
S92.901A,"Unspecified fracture of right foot, initial encounter for closed fracture"
S92.901B,"Unspecified fracture of right foot, initial encounter for open fracture"
S92.901S,"Unspecified fracture of right foot, sequela"
S92.902A,"Unspecified fracture of left foot, initial encounter for closed fracture"
S92.902B,"Unspecified fracture of left foot, initial encounter for open fracture"
S92.909,Unspecified fracture of unspecified foot
S92.909A,"Unspecified fracture of unspecified foot, initial encounter for closed fracture"
S92.909B,"Unspecified fracture of unspecified foot, initial encounter for open fracture"
S92.909D,"Unspecified fracture of unspecified foot, subsequent encounter for fracture with routine healing"
S92.919A,"Unspecified fracture of unspecified toe(s), initial encounter for closed fracture"
S93,"Dislocation and sprain of joints and ligaments at ankle, foot and toe level"
S93.0,Subluxation and dislocation of ankle joint
S93.04,Dislocation of right ankle joint
S93.04XA,"Dislocation of right ankle joint, initial encounter"
S93.05,Dislocation of left ankle joint
S93.06XA,"Dislocation of unspecified ankle joint, initial encounter"
S93.06XD,"Dislocation of unspecified ankle joint, subsequent encounter"
S93.104,Unspecified dislocation of right toe(s)
S93.111,Dislocation of interphalangeal joint of right great toe
S93.304A,"Unspecified dislocation of right foot, initial encounter"
S93.305A,"Unspecified dislocation of left foot, initial encounter"
S93.4,Sprain of ankle
S93.402A,"Sprain of unspecified ligament of left ankle, initial encounter"
S93.409,Sprain of unspecified ligament of unspecified ankle
S93.409A,"Sprain of unspecified ligament of unspecified ankle, initial encounter"
S93.602,Unspecified sprain of left foot
S93.602A,"Unspecified sprain of left foot, initial encounter"
S93.609A,"Unspecified sprain of unspecified foot, initial encounter"
S95.01,Laceration of dorsal artery of foot
S95.011,Laceration of dorsal artery of right foot
S95.21,Laceration of dorsal vein of foot
S95.211,Laceration of dorsal vein of right foot
S95.81,Laceration of other blood vessels at ankle and foot level
S95.811,"Laceration of other blood vessels at ankle and foot level, right leg"
S95.812,"Laceration of other blood vessels at ankle and foot level, left leg"
S95.91,Laceration of unspecified blood vessel at ankle and foot level
S95.911,"Laceration of unspecified blood vessel at ankle and foot level, right leg"
S96.191,"Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, right foot"
S96.192,"Other specified injury of muscle and tendon of long extensor muscle of toe at ankle and foot level, left foot"
S96.829A,"Laceration of other specified muscles and tendons at ankle and foot level, unspecified foot, initial encounter"
S96.909A,"Unspecified injury of unspecified muscle and tendon at ankle and foot level, unspecified foot, initial encounter"
S96.919A,"Strain of unspecified muscle and tendon at ankle and foot level, unspecified foot, initial encounter"
S97.0,Crushing injury of ankle
S97.00XA,"Crushing injury of unspecified ankle, initial encounter"
S97.01XA,"Crushing injury of right ankle, initial encounter"
S97.02,Crushing injury of left ankle
S97.101,Crushing injury of unspecified right toe(s)
S97.109A,"Crushing injury of unspecified toe(s), initial encounter"
S97.8,Crushing injury of foot
S97.80,Crushing injury of unspecified foot
S97.80XA,"Crushing injury of unspecified foot, initial encounter"
S97.81,Crushing injury of right foot
S97.81XA,"Crushing injury of right foot, initial encounter"
S97.82,Crushing injury of left foot
S97.82XA,"Crushing injury of left foot, initial encounter"
S98.0,Traumatic amputation of foot at ankle level
S98.01,Complete traumatic amputation of foot at ankle level
S98.019A,"Complete traumatic amputation of unspecified foot at ankle level, initial encounter"
S98.019D,"Complete traumatic amputation of unspecified foot at ankle level, subsequent encounter"
S98.021,Partial traumatic amputation of right foot at ankle level
S98.111A,"Complete traumatic amputation of right great toe, initial encounter"
S98.112A,"Complete traumatic amputation of left great toe, initial encounter"
S98.119A,"Complete traumatic amputation of unspecified great toe, initial encounter"
S98.122,Partial traumatic amputation of left great toe
S98.131,Complete traumatic amputation of one right lesser toe
S98.139A,"Complete traumatic amputation of one unspecified lesser toe, initial encounter"
S98.139D,"Complete traumatic amputation of one unspecified lesser toe, subsequent encounter"
S98.149A,"Partial traumatic amputation of one unspecified lesser toe, initial encounter"
S98.211A,"Complete traumatic amputation of two or more right lesser toes, initial encounter"
S98.219A,"Complete traumatic amputation of two or more unspecified lesser toes, initial encounter"
S98.319A,"Complete traumatic amputation of unspecified midfoot, initial encounter"
S98.911,"Complete traumatic amputation of right foot, level unspecified"
S98.912,"Complete traumatic amputation of left foot, level unspecified"
S98.912A,"Complete traumatic amputation of left foot, level unspecified, initial encounter"
S98.919A,"Complete traumatic amputation of unspecified foot, level unspecified, initial encounter"
S98.919D,"Complete traumatic amputation of unspecified foot, level unspecified, subsequent encounter"
S99,Other and unspecified injuries of ankle and foot
S99.81,Other specified injuries of ankle
S99.811,Other specified injuries of right ankle
S99.811A,"Other specified injuries of right ankle, initial encounter"
S99.812,Other specified injuries of left ankle
S99.812A,"Other specified injuries of left ankle, initial encounter"
S99.819A,"Other specified injuries of unspecified ankle, initial encounter"
S99.821A,"Other specified injuries of right foot, initial encounter"
S99.829A,"Other specified injuries of unspecified foot, initial encounter"
S99.9,Unspecified injury of ankle and foot
S99.91,Unspecified injury of ankle
S99.911,Unspecified injury of right ankle
S99.911A,"Unspecified injury of right ankle, initial encounter"
S99.911S,"Unspecified injury of right ankle, sequela"
S99.912,Unspecified injury of left ankle
S99.912A,"Unspecified injury of left ankle, initial encounter"
S99.912S,"Unspecified injury of left ankle, sequela"
S99.919,Unspecified injury of unspecified ankle
S99.919A,"Unspecified injury of unspecified ankle, initial encounter"
S99.919D,"Unspecified injury of unspecified ankle, subsequent encounter"
S99.919S,"Unspecified injury of unspecified ankle, sequela"
S99.92,Unspecified injury of foot
S99.921,Unspecified injury of right foot
S99.921A,"Unspecified injury of right foot, initial encounter"
S99.922,Unspecified injury of left foot
S99.922A,"Unspecified injury of left foot, initial encounter"
S99.929A,"Unspecified injury of unspecified foot, initial encounter"
S99.929S,"Unspecified injury of unspecified foot, sequela"
T07,Unspecified multiple injuries
T07.XXXA,"Unspecified multiple injuries, initial encounter"
T07.XXXD,"Unspecified multiple injuries, subsequent encounter"
T14,Injury of unspecified body region
T14.8,Other injury of unspecified body region
T14.8XXA,"Other injury of unspecified body region, initial encounter"
T14.8XXD,"Other injury of unspecified body region, subsequent encounter"
T14.9,Unspecified injury
T14.90,"Injury, unspecified"
T14.90XA,"Injury, unspecified, initial encounter"
T14.90XD,"Injury, unspecified, subsequent encounter"
T14.90XS,"Injury, unspecified, sequela"
T14.91,Suicide attempt
T14.91XA,"Suicide attempt, initial encounter"
T14.91XD,"Suicide attempt, subsequent encounter"
T14.91XS,"Suicide attempt, sequela"
T15,Foreign body on external eye
T15.0,Foreign body in cornea
T15.00,"Foreign body in cornea, unspecified eye"
T15.00XA,"Foreign body in cornea, unspecified eye, initial encounter"
T15.01,"Foreign body in cornea, right eye"
T15.02,"Foreign body in cornea, left eye"
T15.02XA,"Foreign body in cornea, left eye, initial encounter"
T15.8,Foreign body in other and multiple parts of external eye
T15.80,"Foreign body in other and multiple parts of external eye, unspecified eye"
T15.9,"Foreign body on external eye, part unspecified"
T15.90,"Foreign body on external eye, part unspecified, unspecified eye"
T15.90XA,"Foreign body on external eye, part unspecified, unspecified eye, initial encounter"
T15.90XD,"Foreign body on external eye, part unspecified, unspecified eye, subsequent encounter"
T15.91XA,"Foreign body on external eye, part unspecified, right eye, initial encounter"
T15.92XA,"Foreign body on external eye, part unspecified, left eye, initial encounter"
T16,Foreign body in ear
T16.1,Foreign body in right ear
T16.2XXA,"Foreign body in left ear, initial encounter"
T16.9,"Foreign body in ear, unspecified ear"
T16.9XXA,"Foreign body in ear, unspecified ear, initial encounter"
T17,Foreign body in respiratory tract
T17.0,Foreign body in nasal sinus
T17.0XXA,"Foreign body in nasal sinus, initial encounter"
T17.1,Foreign body in nostril
T17.1XXA,"Foreign body in nostril, initial encounter"
T17.2,Foreign body in pharynx
T17.200A,"Unspecified foreign body in pharynx causing asphyxiation, initial encounter"
T17.208A,"Unspecified foreign body in pharynx causing other injury, initial encounter"
T17.22,Food in pharynx
T17.298A,"Other foreign object in pharynx causing other injury, initial encounter"
T17.3,Foreign body in larynx
T17.300,Unspecified foreign body in larynx causing asphyxiation
T17.300A,"Unspecified foreign body in larynx causing asphyxiation, initial encounter"
T17.308,Unspecified foreign body in larynx causing other injury
T17.308A,"Unspecified foreign body in larynx causing other injury, initial encounter"
T17.310A,"Gastric contents in larynx causing asphyxiation, initial encounter"
T17.318A,"Gastric contents in larynx causing other injury, initial encounter"
T17.320,Food in larynx causing asphyxiation
T17.320A,"Food in larynx causing asphyxiation, initial encounter"
T17.328A,"Food in larynx causing other injury, initial encounter"
T17.398A,"Other foreign object in larynx causing other injury, initial encounter"
T17.4,Foreign body in trachea
T17.40,Unspecified foreign body in trachea
T17.400,Unspecified foreign body in trachea causing asphyxiation
T17.400A,"Unspecified foreign body in trachea causing asphyxiation, initial encounter"
T17.42,Food in trachea
T17.420,Food in trachea causing asphyxiation
T17.49,Other foreign object in trachea
T17.5,Foreign body in bronchus
T17.500A,"Unspecified foreign body in bronchus causing asphyxiation, initial encounter"
T17.8,Foreign body in other parts of respiratory tract
T17.800A,"Unspecified foreign body in other parts of respiratory tract causing asphyxiation, initial encounter"
T17.81,Gastric contents in other parts of respiratory tract
T17.810,Gastric contents in other parts of respiratory tract causing asphyxiation
T17.820A,"Food in other parts of respiratory tract causing asphyxiation, initial encounter"
T17.89,Other foreign object in other parts of respiratory tract
T17.890,Other foreign object in other parts of respiratory tract causing asphyxiation
T17.9,"Foreign body in respiratory tract, part unspecified"
T17.90,"Unspecified foreign body in respiratory tract, part unspecified"
T17.900,"Unspecified foreign body in respiratory tract, part unspecified causing asphyxiation"
T17.900A,"Unspecified foreign body in respiratory tract, part unspecified causing asphyxiation, initial encounter"
T17.900S,"Unspecified foreign body in respiratory tract, part unspecified causing asphyxiation, sequela"
T17.908A,"Unspecified foreign body in respiratory tract, part unspecified causing other injury, initial encounter"
T17.908S,"Unspecified foreign body in respiratory tract, part unspecified causing other injury, sequela"
T17.91,"Gastric contents in respiratory tract, part unspecified"
T17.910A,"Gastric contents in respiratory tract, part unspecified causing asphyxiation, initial encounter"
T17.92,"Food in respiratory tract, part unspecified"
T17.920A,"Food in respiratory tract, part unspecified causing asphyxiation, initial encounter"
T17.928,"Food in respiratory tract, part unspecified causing other injury"
T17.99,"Other foreign object in respiratory tract, part unspecified"
T17.990,"Other foreign object in respiratory tract, part unspecified in causing asphyxiation"
T17.990A,"Other foreign object in respiratory tract, part unspecified in causing asphyxiation, initial encounter"
T17.998A,"Other foreign object in respiratory tract, part unspecified causing other injury, initial encounter"
T18,Foreign body in alimentary tract
T18.0,Foreign body in mouth
T18.0XXA,"Foreign body in mouth, initial encounter"
T18.100A,"Unspecified foreign body in esophagus causing compression of trachea, initial encounter"
T18.108A,"Unspecified foreign body in esophagus causing other injury, initial encounter"
T18.108D,"Unspecified foreign body in esophagus causing other injury, subsequent encounter"
T18.12,Food in esophagus
T18.120,Food in esophagus causing compression of trachea
T18.120A,"Food in esophagus causing compression of trachea, initial encounter"
T18.128A,"Food in esophagus causing other injury, initial encounter"
T18.19,Other foreign object in esophagus
T18.190,Other foreign object in esophagus causing compression of trachea
T18.190A,"Other foreign object in esophagus causing compression of trachea, initial encounter"
T18.198A,"Other foreign object in esophagus causing other injury, initial encounter"
T18.2,Foreign body in stomach
T18.2XXA,"Foreign body in stomach, initial encounter"
T18.4,Foreign body in colon
T18.5,Foreign body in anus and rectum
T18.5XXA,"Foreign body in anus and rectum, initial encounter"
T18.8XXA,"Foreign body in other parts of alimentary tract, initial encounter"
T18.9,"Foreign body of alimentary tract, part unspecified"
T18.9XXA,"Foreign body of alimentary tract, part unspecified, initial encounter"
T19,Foreign body in genitourinary tract
T19.0,Foreign body in urethra
T19.0XXA,"Foreign body in urethra, initial encounter"
T19.1XXA,"Foreign body in bladder, initial encounter"
T19.1XXD,"Foreign body in bladder, subsequent encounter"
T19.2,Foreign body in vulva and vagina
T19.2XXA,"Foreign body in vulva and vagina, initial encounter"
T19.9,"Foreign body in genitourinary tract, part unspecified"
T19.9XXA,"Foreign body in genitourinary tract, part unspecified, initial encounter"
T19.9XXS,"Foreign body in genitourinary tract, part unspecified, sequela"
T20,"Burn and corrosion of head, face, and neck"
T20.0,"Burn of unspecified degree of head, face, and neck"
T20.00XA,"Burn of unspecified degree of head, face, and neck, unspecified site, initial encounter"
T20.00XD,"Burn of unspecified degree of head, face, and neck, unspecified site, subsequent encounter"
T20.00XS,"Burn of unspecified degree of head, face, and neck, unspecified site, sequela"
T20.011A,"Burn of unspecified degree of right ear [any part, except ear drum], initial encounter"
T20.012A,"Burn of unspecified degree of left ear [any part, except ear drum], initial encounter"
T20.02XA,"Burn of unspecified degree of lip(s), initial encounter"
T20.03XA,"Burn of unspecified degree of chin, initial encounter"
T20.04XA,"Burn of unspecified degree of nose (septum), initial encounter"
T20.06XA,"Burn of unspecified degree of forehead and cheek, initial encounter"
T20.07,Burn of unspecified degree of neck
T20.07XA,"Burn of unspecified degree of neck, initial encounter"
T20.09XA,"Burn of unspecified degree of multiple sites of head, face, and neck, initial encounter"
T20.1,"Burn of first degree of head, face, and neck"
T20.10,"Burn of first degree of head, face, and neck, unspecified site"
T20.10XA,"Burn of first degree of head, face, and neck, unspecified site, initial encounter"
T20.12,Burn of first degree of lip(s)
T20.16XA,"Burn of first degree of forehead and cheek, initial encounter"
T20.19XA,"Burn of first degree of multiple sites of head, face, and neck, initial encounter"
T20.19XS,"Burn of first degree of multiple sites of head, face, and neck, sequela"
T20.20,"Burn of second degree of head, face, and neck, unspecified site"
T20.20XA,"Burn of second degree of head, face, and neck, unspecified site, initial encounter"
T20.211,"Burn of second degree of right ear [any part, except ear drum]"
T20.219A,"Burn of second degree of unspecified ear [any part, except ear drum], initial encounter"
